repo,path,snippet
home-assistant/core,homeassistant/components/xiaomi_ble/config_flow.py,
home-assistant/core,homeassistant/components/esphome/config_flow.py,
XX-net/XX-Net,code/default/lib/noarch/asn1crypto/algos.py,
apache/airflow,providers/google/src/airflow/providers/google/cloud/hooks/vertex_ai/auto_ml.py,
apache/airflow,providers/google/src/airflow/providers/google/marketing_platform/operators/campaign_manager.py,
apache/airflow,providers/google/src/airflow/providers/google/marketing_platform/hooks/campaign_manager.py,
localstack/localstack,localstack-core/localstack/aws/api/kms/__init__.py,
localstack/localstack,localstack-core/localstack/services/s3/provider.py,
mozilla/pdf.js,src/core/crypto.js,
apache/airflow,providers/google/src/airflow/providers/google/cloud/operators/bigquery.py,
localstack/localstack,localstack-core/localstack/aws/api/s3/__init__.py,
localstack/localstack,localstack-core/localstack/services/kms/provider.py,
ccxt/ccxt,js/src/static_dependencies/jsencrypt/lib/asn1js/oids.js,
espressif/esp-idf,examples/system/efuse/pytest_system_efuse_example.py,
apache/airflow,providers/google/src/airflow/providers/google/cloud/hooks/vertex_ai/custom_job.py,
localstack/localstack,localstack-core/localstack/services/s3/validation.py,
ceph/ceph,qa/tasks/rbd.py,
localstack/localstack,localstack-core/localstack/aws/api/firehose/__init__.py,
mongodb/mongo,jstests/fle2/libs/encrypted_client_util.js,
apache/airflow,providers/google/src/airflow/providers/google/cloud/operators/vertex_ai/custom_job.py,
odoo/odoo,odoo/addons/base/models/ir_mail_server.py,
home-assistant/core,homeassistant/components/mobile_app/webhook.py,
wistbean/learn_python3_spider,stackoverflow/venv/lib/python3.6/site-packages/pymongo/encryption.py,
localstack/localstack,localstack-core/localstack/services/kms/models.py,
Azure/azure-sdk-for-python,sdk/storage/azure-storage-queue/azure/storage/queue/_encryption.py,
Azure/azure-sdk-for-python,sdk/storage/azure-storage-blob/azure/storage/blob/_encryption.py,
nextcloud/server,apps/settings/l10n/ka.js,
Azure/azure-sdk-for-python,sdk/compute/azure-mgmt-compute/azure/mgmt/compute/v2020_05_01/models/_models_py3.py,
trustedsec/social-engineer-toolkit,src/payloads/set_payloads/listener.py,
Azure/azure-sdk-for-python,sdk/compute/azure-mgmt-compute/azure/mgmt/compute/v2022_03_02/models/_models_py3.py,
